l_id,longitude,latitude
274,-87.655384,41.9108
275,-87.686607,41.900509
276,-87.662857,41.998077
277,-87.650182,41.926438
278,-87.629921,41.893627
279,-87.658031,41.932306
280,-87.632095,41.867653
281,-87.622833,41.887756
282,-87.64959,41.95165
283,-87.68821,41.950268
284,-87.67716,41.95423
285,-87.674224,41.951488
286,-87.686634,41.916619
287,-87.650909,41.887295
288,-87.654526,41.95489
289,-87.743195,42.014656
290,-87.629234,41.904076
291,-87.630467,41.867451
292,-87.627068,41.853985
293,-87.668976,41.977943
294,-87.661774,41.885334
295,-87.634194,41.896599
296,-87.777206,41.953075
297,-87.653046,41.965729
298,-87.744217,41.965336
299,-87.669762,41.905468
300,-87.677109,41.910053
301,-87.70726,41.927032
302,-87.700951,41.925442
303,-87.663673,41.935352
304,-87.688515,41.965505
305,-87.670364,41.906162
306,-87.735619,41.946297
307,-87.748703,41.954247
308,-87.671669,41.906681
309,-87.691221,41.917568
310,-87.433357,41.385059
311,-87.657826,41.892339
312,-87.646866,41.961895
313,-87.624218,41.866646
314,-87.63278,41.895782
315,-87.64883,41.949947
316,-87.629997,41.880001
317,-87.624725,41.877117
318,-87.631454,41.891853
319,-87.699997,41.939999
320,-87.65764,41.94862
321,-87.639999,41.900002
322,-87.687065,41.929108
323,-87.629997,41.869999
324,-87.75522,41.97519
325,-87.639999,41.880001
326,-87.650002,41.919998
327,-87.629997,41.880001
328,-87.629997,41.880001
329,-87.610001,41.82
330,-87.63122,41.89519
331,-87.655045,41.932613
332,-87.656677,41.947182
333,-87.68916,41.89135
334,-87.661255,41.92524
335,-87.622337,41.87899
336,-87.665098,41.988967
337,-87.65,41.92
338,-87.63,41.89
339,-87.433365,41.385052
340,-87.654941,41.878731
341,-87.632514,41.923287
342,-87.654941,41.878731
343,-87.716011,41.707976
344,-87.665487,41.822237
345,-87.645568,41.955765
346,-87.653998,41.894763
347,-87.657822,41.976059
348,-87.701378,41.89576
349,-88.083054,41.604904
350,-87.702393,41.900166
351,-87.685598,41.844223
352,-87.749031,41.954353
353,-87.632141,41.933472
354,-87.616112,41.856625
355,-87.63559,41.964687
356,-87.631271,41.891689
357,-87.699997,41.919998
358,-87.650002,41.939999
359,-87.639999,41.900002
360,-87.65432,41.91375
361,-87.625672,41.904242
362,-87.699997,41.919998
363,-87.61487,41.863018
364,-87.63,41.89
365,-87.62436,41.87577
366,-87.7,41.92
367,-87.7,41.92
368,-87.63419,41.8966
369,-87.66097,41.88292
370,-87.65813,41.949097
371,-87.633125,41.884453
372,-87.76,41.88
373,-87.65,41.94
374,-87.7,41.92
375,-87.63361,41.92573
376,-87.614739,41.861865
377,-87.614866,41.86302
378,-87.650002,41.919998
379,-87.620575,41.8732
380,-87.981505,41.511552
381,-87.640171,41.948894
382,-87.576032,41.782829
383,-87.633617,41.925732
384,-87.653725,41.913727
385,-87.65057,41.97212
386,-88.118315,42.379848
387,-87.636677,41.884519
388,-87.566414,41.76699
389,-87.633685,41.890383
390,-87.645897,41.965895
391,-87.584594,41.780616
392,-87.631674,41.911174
393,-87.633617,41.925732
394,-87.643845,41.921913
395,-87.706753,41.927959
396,-87.591746,41.798091
397,-87.624279,41.883262
398,-87.686822,41.89574
399,-87.625214,41.903633
